wwww.youku.com                	43.250.12.42
skii.youku.com                	118.26.203.135, 118.26.203.137
user.youku.com                	59.82.1.227
jxtz.youku.com                	101.201.74.144
lvip.youku.com                	43.250.14.31
lama.youku.com                	118.26.203.137
bkbm.youku.com                	123.126.98.146, 123.126.98.147, 123.126.98.148, 123.126.98.149, 123.126.98.150, 123.126.98.151
beta.youku.com                	211.151.146.116
buzz.youku.com                	211.151.146.103
task.youku.com                	103.41.143.50
play.youku.com                	43.250.12.59
push.youku.com                	59.82.0.57
cvip.youku.com                	43.250.14.31
club.youku.com                	42.62.109.198
muse.youku.com                	111.206.107.51, 111.206.107.52, 111.206.107.53, 119.167.222.73, 119.167.222.74, 119.167.222.75
cncn.youku.com                	211.151.146.103
blog.youku.com                	211.151.146.103
lego.youku.com                	124.243.193.49
list.youku.com                	59.82.12.42
170.youku.com                 	54.223.231.115
games.youku.com               	43.250.15.36
search.youku.com              	211.151.146.209
passport.youku.com            	59.82.0.43
share.youku.com               	43.250.15.21
themis.youku.com              	103.41.143.193, 103.41.143.194
creation.youku.com            	59.82.12.39
account.youku.com             	103.41.143.38
index.youku.com               	43.250.12.25
event.youku.com               	124.243.193.45, 124.243.193.46, 124.243.193.47
static.youku.com              	222.192.186.37, 222.192.186.38
apple.youku.com               	124.243.193.67, 124.243.193.68, 124.243.193.69, 124.243.193.70, 124.243.193.71
ns1.youku.com                 	220.181.60.19
manage.youku.com              	43.250.12.151
login.youku.com               	43.250.12.45
1903.youku.com                	124.243.193.49
ns4.youku.com                 	60.217.254.9
ns3.youku.com                 	202.102.81.119
apollo.youku.com              	103.41.143.153, 103.41.143.154
ns2.youku.com                 	123.234.2.35
mx1.youku.com                 	106.120.71.197
desktop.youku.com             	60.209.6.174, 60.209.6.213
comet.youku.com               	211.151.152.78, 211.151.152.79, 211.151.50.228, 211.151.50.246, 59.82.2.141, 59.82.2.142, 59.82.2.143, 59.82.2.144
console.youku.com             	43.250.14.43
bandaid.youku.com             	124.243.193.49
project.youku.com             	124.243.193.45, 124.243.193.46, 124.243.193.47
insight.youku.com             	10.103.22.31
merchant.youku.com            	43.250.15.34
module.youku.com              	43.250.12.42
point.youku.com               	103.41.143.58
survey.youku.com              	60.29.234.52
third.youku.com               	59.82.2.120, 59.82.2.121, 59.82.2.122, 59.82.2.123, 59.82.2.124, 59.82.2.125
upload.youku.com              	43.250.12.182, 43.250.12.183, 43.250.12.184
upgrade.youku.com             	43.250.15.124
wyeth.youku.com               	124.243.193.49
notify.youku.com              	43.250.15.60
school.youku.com              	58.205.218.226
player.youku.com              	43.250.12.86, 43.250.12.87, 43.250.12.88
iphone.youku.com              	220.181.185.163
notice.youku.com              	43.250.12.34
wechat.youku.com              	211.151.153.71
woodpecker.youku.com          	101.227.8.125
mx2.youku.com                 	106.120.71.198
data.yp.youku.com             	59.82.12.49
static.ke.youku.com           	59.82.12.53
pop3.youku.com                	60.247.104.126
test.yjb.youku.com            	59.82.0.216
cumulus.youku.com             	60.209.6.159, 60.209.6.160
gateway.youku.com             	43.250.15.34
live.pl.youku.com             	59.82.1.229
s.p.youku.com                 	111.206.107.126, 111.206.107.127, 111.206.107.88, 111.206.107.89
tv.3g.youku.com               	211.151.146.166
stat.3g.youku.com             	211.151.146.74
api.wan.youku.com             	43.250.15.36
blog.api.youku.com            	106.187.48.38
gateway.api.youku.com         	10.100.188.78
r.l.youku.com                 	59.82.12.100, 59.82.12.101, 59.82.12.102, 59.82.12.103, 59.82.12.104, 59.82.12.105, 59.82.12.106, 59.82.12.107, 59.82.12.108, 59.82.12.109, 59.82.12.110, 59.82.12.111, 59.82.12.112, 59.82.12.113, 59.82.12.114, 59.82.12.95, 59.82.12.96, 59.82.12.97, 59.82.12.98, 59.82.12.99
p.l.youku.com                 	59.82.12.100, 59.82.12.101, 59.82.12.102, 59.82.12.103, 59.82.12.104, 59.82.12.105, 59.82.12.106, 59.82.12.107, 59.82.12.108, 59.82.12.109, 59.82.12.110, 59.82.12.111, 59.82.12.112, 59.82.12.113, 59.82.12.114, 59.82.12.95, 59.82.12.96, 59.82.12.97, 59.82.12.98, 59.82.12.99
c.l.youku.com                 	59.82.12.100, 59.82.12.101, 59.82.12.102, 59.82.12.103, 59.82.12.104, 59.82.12.105, 59.82.12.106, 59.82.12.107, 59.82.12.108, 59.82.12.109, 59.82.12.110, 59.82.12.111, 59.82.12.112, 59.82.12.113, 59.82.12.114, 59.82.12.95, 59.82.12.96, 59.82.12.97, 59.82.12.98, 59.82.12.99
a.l.youku.com                 	59.82.12.100, 59.82.12.101, 59.82.12.102, 59.82.12.103, 59.82.12.104, 59.82.12.105, 59.82.12.106, 59.82.12.107, 59.82.12.108, 59.82.12.109, 59.82.12.110, 59.82.12.111, 59.82.12.112, 59.82.12.113, 59.82.12.114, 59.82.12.95, 59.82.12.96, 59.82.12.97, 59.82.12.98, 59.82.12.99
m.l.youku.com                 	59.82.12.100, 59.82.12.101, 59.82.12.102, 59.82.12.103, 59.82.12.104, 59.82.12.105, 59.82.12.106, 59.82.12.107, 59.82.12.108, 59.82.12.109, 59.82.12.110, 59.82.12.111, 59.82.12.112, 59.82.12.113, 59.82.12.114, 59.82.12.95, 59.82.12.96, 59.82.12.97, 59.82.12.98, 59.82.12.99
pl.l.youku.com                	59.82.12.100, 59.82.12.101, 59.82.12.102, 59.82.12.103, 59.82.12.104, 59.82.12.105, 59.82.12.106, 59.82.12.107, 59.82.12.108, 59.82.12.109, 59.82.12.110, 59.82.12.111, 59.82.12.112, 59.82.12.113, 59.82.12.114, 59.82.12.95, 59.82.12.96, 59.82.12.97, 59.82.12.98, 59.82.12.99
api.yes.youku.com             	111.206.111.197
sandbox.yes.youku.com         	123.126.99.99
e.yes.youku.com               	59.82.3.58
dl.m.youku.com                	60.209.6.220, 60.217.252.36
pk.m.youku.com                	211.151.50.155
free.m.youku.com              	60.209.6.220, 60.217.252.36
m.yes.youku.com               	43.250.14.46
bbs.yes.youku.com             	124.243.193.15
test.dsp.youku.com            	111.206.111.103
c.dsp.youku.com               	111.206.111.72, 111.206.111.73
a.dsp.youku.com               	111.206.111.72, 111.206.111.73
push.m.youku.com              	43.250.14.188, 43.250.14.189, 43.250.14.190
api.m.youku.com               	59.82.12.47, 59.82.3.36
cms.m.youku.com               	10.103.13.73, 10.103.13.74
stat.m.youku.com              	10.103.13.14
bbs.yj.youku.com              	124.243.193.11
e.stat.youku.com              	211.151.153.185, 211.151.153.193, 211.151.153.74, 211.151.153.75
ex.stat.youku.com             	10.100.14.168
dl.g.youku.com                	123.159.202.140, 221.204.171.158
s.e.youku.com                 	43.250.14.69, 43.250.14.70
static.e.youku.com            	103.41.143.37
cms.g.youku.com               	43.250.15.36
special.c.youku.com           	43.250.15.237
kb.adm.youku.com              	10.100.51.74
link.hz.youku.com             	103.41.143.72, 103.41.143.73, 103.41.143.74, 103.41.143.75
static.v.youku.com            	123.125.7.234, 123.125.7.235
api.md.youku.com              	43.250.15.111
yws.youku.com                 	43.250.12.41
csc.youku.com                 	123.126.98.183
p.atm.youku.com               	211.151.146.64, 211.151.146.65
m.atm.youku.com               	43.250.15.238
mp.atm.youku.com              	43.250.15.238
mi.atm.youku.com              	43.250.15.238
cm.atm.youku.com              	106.38.221.220
count.atm.youku.com           	59.82.1.204
yun.atm.youku.com             	60.205.82.147
ad.atm.youku.com              	43.250.15.238
static.atm.youku.com          	111.206.107.66, 111.206.107.67
vips.youku.com                	59.82.3.51
td.atm.youku.com              	43.250.15.238
v.open.youku.com              	59.82.1.224
yj.open.youku.com             	103.41.143.46
static.open.youku.com         	43.250.14.56
doc.open.youku.com            	43.250.14.56
mc.atm.youku.com              	43.250.15.238
vod.open.youku.com            	43.250.14.56
poll.youku.com                	211.151.146.177, 211.151.146.178
crm.youku.com                 	10.100.188.63
manage.shop.youku.com         	211.151.153.237
mogo.youku.com                	120.72.48.12
c.beta.youku.com              	211.151.146.116
tv.beta.youku.com             	211.151.146.116
stat.push.youku.com           	10.100.27.163
u.share.youku.com             	43.250.15.21
p.share.youku.com             	10.103.52.122
bbs.share.youku.com           	42.62.109.198
pp.manage.youku.com           	43.250.12.32
res.manage.youku.com          	103.41.143.229
live.manage.youku.com         	103.41.143.231
crm.manage.youku.com          	10.100.29.92
cms.manage.youku.com          	103.41.143.229
file.manage.youku.com         	103.41.143.229
od.manage.youku.com           	43.250.12.32
cert.manage.youku.com         	43.250.12.32
c.share.youku.com             	43.250.15.21
vote.manage.youku.com         	103.41.143.229
test.point.youku.com          	111.13.133.113
audio.upload.youku.com        	103.41.143.43
lincoln.youku.com             	118.26.203.137
test.data.yp.youku.com        	101.227.8.131
doc.sandbox.yes.youku.com     	123.126.99.99
monitor.sandbox.yes.youku.com 	123.126.99.99
admin.sandbox.yes.youku.com   	123.126.99.99
api.sandbox.yes.youku.com     	123.126.99.99
test.push.m.youku.com         	211.151.146.143
manage.cms.m.youku.com        	10.100.27.174, 10.100.27.175
k.vod.open.youku.com          	101.201.172.30
u.vod.open.youku.com          	101.201.172.149
